Country,Lower LTV,100% mortgage less available,LTI/affordability criteria tightned,Maximum mortgage term shortned,New loan types
AUS,1.0,1.0,1.0,0.0,0.0
DNK,1.0,0.0,0.0,0.0,0.0
FRA,1.0,1.0,0.0,1.0,0.0
ISL,0.0,0.0,0.0,0.0,0.0
IRL,1.0,1.0,1.0,0.0,1.0
NLD,0.0,1.0,1.0,0.0,0.0
NOR,1.0,0.0,0.0,0.0,0.0
POL,0.0,0.0,0.0,1.0,0.0
PRT,0.0,0.0,1.0,0.0,1.0
RUS,1.0,1.0,1.0,1.0,0.0
ESP,1.0,0.0,1.0,1.0,0.0
SWE,1.0,1.0,0.0,0.0,0.0
GBR,1.0,1.0,1.0,0.0,0.0
USA,1.0,1.0,1.0,0.0,0.0
