"BehaviorSpace results (NetLogo 6.2.0)"
"cluster-geo.nlogo"
"baseline-run"
"06/30/2021 11:35:15:521 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-gui?","initial-density-ratio","Locality","InitialGeography","debug-setup","debug?","[step]","geral-house-price-mean"
"4","true","70","2","Random","none","false","18","4528.078375377011"
"6","true","70","2","Gradient","none","false","54","2.9522085695493465"
"6","true","70","2","Gradient","none","false","55","2.9527539550723354"
"1","true","70","2","Random","none","false","19","4894.005160097163"
"4","true","70","2","Random","none","false","19","4528.366958833167"
"6","true","70","2","Gradient","none","false","56","2.953327699341625"
"1","true","70","2","Random","none","false","20","4891.2775375021465"
"6","true","70","2","Gradient","none","false","57","2.953818822652131"
"4","true","70","2","Random","none","false","20","4528.592152863828"
"6","true","70","2","Gradient","none","false","58","2.9543487189365565"
"3","true","70","2","Random","none","false","9","4583.265618497521"
"6","true","70","2","Gradient","none","false","59","2.954898876483503"
"1","true","70","2","Random","none","false","21","4888.608233708597"
"2","true","70","2","Random","none","false","3","4752.791952190333"
"6","true","70","2","Gradient","none","false","60","2.9555118971366974"
"4","true","70","2","Random","none","false","21","4528.892754833393"
"1","true","70","2","Random","none","false","22","4886.122050217079"
"6","true","70","2","Gradient","none","false","61","2.956077974881659"
"4","true","70","2","Random","none","false","22","4529.102867671628"
"6","true","70","2","Gradient","none","false","62","2.956667758742336"
"1","true","70","2","Random","none","false","23","4883.812031591311"
"6","true","70","2","Gradient","none","false","63","2.9572438419477236"
"5","true","70","2","Random","none","false","4","4686.247461762947"
"3","true","70","2","Random","none","false","10","4583.605280155042"
"6","true","70","2","Gradient","none","false","64","2.9578255452700213"
"4","true","70","2","Random","none","false","23","4529.422844362269"
"1","true","70","2","Random","none","false","24","4881.829156538711"
"6","true","70","2","Gradient","none","false","65","2.9583928887428423"
"6","true","70","2","Gradient","none","false","66","2.958986666744417"
"1","true","70","2","Random","none","false","25","4880.1340152733555"
"6","true","70","2","Gradient","none","false","67","2.9595453781727428"
"6","true","70","2","Gradient","none","false","68","2.9601289902195984"
"1","true","70","2","Random","none","false","26","4878.497187852934"
"4","true","70","2","Random","none","false","24","4529.667086915879"
"6","true","70","2","Gradient","none","false","69","2.96079894546498"
"6","true","70","2","Gradient","none","false","70","2.961397622340541"
"6","true","70","2","Gradient","none","false","71","2.9620619802970882"
"6","true","70","2","Gradient","none","false","72","2.9626314648888576"
"4","true","70","2","Random","none","false","25","4529.903583481306"
"6","true","70","2","Gradient","none","false","73","2.963302657749265"
"6","true","70","2","Gradient","none","false","74","2.9638890892607552"
"6","true","70","2","Gradient","none","false","75","2.9645335383414233"
"1","true","70","2","Random","none","false","27","4877.038484775661"
"6","true","70","2","Gradient","none","false","76","2.965187910535469"
"3","true","70","2","Random","none","false","11","4584.059138505503"
"6","true","70","2","Gradient","none","false","77","2.9659140657808414"
"6","true","70","2","Gradient","none","false","78","2.966561670365442"
"6","true","70","2","Gradient","none","false","79","2.967281965258078"
"6","true","70","2","Gradient","none","false","80","2.967919034147195"
