,Inflation,gIh,Own Interest rate,Interest rate
1992-03-31,0.002918863483965861,0.06551655448625789,0.12057689595949934,0.0898
1992-06-30,0.0007210372448513969,0.052721558552272695,0.11485343540347,0.0843
1992-09-30,-0.0012052296486493308,0.007944790463313558,0.1112090672013814,0.0802
1992-12-31,0.005692400514152318,0.06304622493118793,0.10026863098207721,0.0814
1993-03-31,0.002543168657728856,0.0119424012844597,0.09515187366322399,0.075
1993-06-30,0.004852284996942791,0.026665180955336616,0.08841517701334385,0.07339999999999999
1993-09-30,0.007146186111542496,0.055476659811267,0.07831583128606165,0.0695
1993-12-31,0.006851251992390228,0.06748396438322063,0.08162804157667078,0.0713
1994-03-31,0.006766331754522792,0.031578647831328716,0.09260824653337363,0.078
1994-06-30,0.007190048060462306,0.045282757807491934,0.10299819083603835,0.08460000000000001
1994-09-30,0.006244806486540799,-0.004502884525928025,0.11110693310748886,0.0882
1994-12-31,0.0047045869722981415,-0.003004754577820919,0.12068724536675896,0.09179999999999999
1995-03-31,0.003773443921392561,-0.010754630581708306,0.10803610651962497,0.08380000000000001
1995-06-30,0.0023324772645501035,-0.023570863292534605,0.09603728854418375,0.0753
1995-09-30,0.006448897745980231,0.048258440727152185,0.0902025356699059,0.0762
1995-12-31,0.005300701020784615,0.027805363676466188,0.08393242846832384,0.0711
1996-03-31,0.005578595808713116,0.0337408210548265,0.09289311791730198,0.07690000000000001
1996-06-30,0.006800734820005427,0.058084880543484166,0.10079577088466567,0.08289999999999999
1996-09-30,0.006090192856107235,0.008316154656972203,0.09987959722100818,0.0816
1996-12-31,0.005584914724957812,-0.00671308896654844,0.09205367305681655,0.0764
1997-03-31,0.008730964467005276,0.010188207593715413,0.09194226683212048,0.0797
1997-06-30,0.007435824571374372,0.02033043995474828,0.08783116191198148,0.0758
1997-09-30,0.009049880118471076,0.01917893293396788,0.08030944650203592,0.0728
1997-12-31,0.01445477205488399,0.019200981801269133,0.06723484373630924,0.0699
1998-03-31,0.015511797462540944,0.025753885747367224,0.06692028386515976,0.0708
1998-06-30,0.01584017366528756,0.04888071966012857,0.06467046193278184,0.0696
1998-09-30,0.015748995514596853,0.04576436341911233,0.060226444712065896,0.0664
