Country,D_Mortgaging
JPN,2.4067382683576164
AUS,2.073080859878159
ESP,1.6691104952463862
PRT,1.5742481093048595
ITA,1.5495325165959781
NOR,0.9373019388963582
BEL,0.9311440960579805
GBR,0.8958755255505438
FRA,0.7646316377273397
CAN,0.5136174845004469
CHE,0.4935478969926144
USA,0.3785444141613428
DEU,0.23186869034193444
NLD,0.21792673703056462
SWE,0.21111478738078637
DNK,0.1850858710066706
FIN,-0.0034056117425061644
