ISO3,Rating,CurrentAccountBal/GDP,GDPgrowth,Regulatory_Efficiency,Government_Size,Rule_of_Law,Monetary_Freedom,Labor_Freedom,Business_Freedom,Government_Spending,Government_Integrity
MLT,0.7,4.455,9.521,0.6613333333333333,0.5375,0.655,0.818,0.556,0.61,0.444,0.56
MNG,0.31666666666666665,-3.992,2.38,0.7336666666666667,0.5975,0.33999999999999997,0.6920000000000001,0.8270000000000001,0.682,0.35600000000000004,0.38
MOZ,0.26666666666666666,-40.328,6.593999999999999,0.6026666666666666,0.7085,0.3,0.82,0.379,0.609,0.665,0.3
NLD,0.975,6.3389999999999995,1.9580000000000002,0.7679999999999999,0.378,0.865,0.7979999999999999,0.6629999999999999,0.843,0.23800000000000002,0.83
NIC,0.35,-9.079,4.769,0.6083333333333333,0.7749999999999999,0.19,0.6779999999999999,0.5670000000000001,0.58,0.7659999999999999,0.28
NGA,0.3833333333333333,-3.1919999999999997,2.653,0.6546666666666666,0.8065,0.275,0.7040000000000001,0.777,0.483,0.7609999999999999,0.25
OMN,0.675,-15.898,4.658,0.7356666666666666,0.7135,0.51,0.762,0.7609999999999999,0.684,0.442,0.47
PAK,0.275,-1.001,4.058,0.5963333333333334,0.819,0.29000000000000004,0.7120000000000001,0.42100000000000004,0.6559999999999999,0.861,0.28
PNG,0.35,12.013,5.2989999999999995,0.669,0.678,0.225,0.727,0.745,0.535,0.687,0.25
PRY,0.45,-0.833,3.08,0.5433333333333333,0.8895,0.27,0.7829999999999999,0.263,0.584,0.8190000000000001,0.24
PHL,0.55,2.4819999999999998,6.067,0.641,0.842,0.32999999999999996,0.7879999999999999,0.5820000000000001,0.5529999999999999,0.893,0.36
POL,0.725,-0.557,3.845,0.6966666666666667,0.646,0.6,0.813,0.604,0.6729999999999999,0.47100000000000003,0.6
PRT,0.475,0.11599999999999999,1.8219999999999998,0.7106666666666667,0.4495,0.6599999999999999,0.828,0.429,0.875,0.28800000000000003,0.62
QAT,0.9,8.502,3.658,0.738,0.8580000000000001,0.69,0.797,0.7120000000000001,0.705,0.7190000000000001,0.68
COG,0.32499999999999996,-54.141000000000005,2.6189999999999998,0.48133333333333334,0.6405000000000001,0.16,0.716,0.36,0.368,0.607,0.22
RUS,0.525,4.945,-2.5,0.6636666666666666,0.7195,0.24000000000000002,0.639,0.589,0.763,0.578,0.28
RWA,0.35,-14.485,8.873,0.7333333333333334,0.797,0.41500000000000004,0.76,0.845,0.595,0.792,0.53
SAU,0.8500000000000001,-8.67,4.106,0.6896666666666667,0.808,0.43000000000000005,0.684,0.727,0.6579999999999999,0.619,0.46
SRB,0.375,-4.711,0.758,0.668,0.5475000000000001,0.435,0.722,0.7040000000000001,0.578,0.271,0.42
SYC,0.4,-18.601,4.9110000000000005,0.6920000000000001,0.696,0.52,0.76,0.639,0.677,0.594,0.54
SVK,0.8,-1.733,3.85,0.672,0.6795,0.485,0.755,0.565,0.696,0.551,0.47
SVN,0.675,4.532,2.259,0.7319999999999999,0.2905,0.585,0.813,0.5710000000000001,0.812,0.0,0.57
ZAF,0.55,-4.593,1.28,0.6983333333333334,0.6885,0.45999999999999996,0.7490000000000001,0.616,0.73,0.682,0.42
KOR,0.85,7.6610000000000005,2.79,0.7413333333333333,0.702,0.65,0.816,0.511,0.897,0.679,0.55
ESP,0.675,1.128,3.645,0.7046666666666667,0.4645,0.645,0.813,0.526,0.775,0.39799999999999996,0.59
TWN,0.8,14.247,0.8059999999999999,0.7696666666666667,0.8375,0.655,0.833,0.552,0.924,0.871,0.61
TTO,0.75,7.64,1.714,0.7206666666666667,0.7415,0.44,0.743,0.7659999999999999,0.653,0.693,0.38
TUN,0.4,-8.92,1.153,0.7503333333333334,0.7255,0.405,0.748,0.691,0.812,0.708,0.41
UGA,0.35,-7.127000000000001,5.67,0.6903333333333334,0.8115,0.255,0.763,0.875,0.433,0.89,0.26
UKR,0.15,1.7209999999999999,-9.773,0.6203333333333333,0.5335000000000001,0.225,0.7859999999999999,0.48200000000000004,0.593,0.28,0.25
GBR,1.0,-4.914,2.349,0.8036666666666666,0.46599999999999997,0.8300000000000001,0.7440000000000001,0.7559999999999999,0.9109999999999999,0.303,0.76
URY,0.6,-0.96,0.371,0.695,0.7109999999999999,0.715,0.716,0.643,0.726,0.6509999999999999,0.73
VEN,0.15,-6.6160000000000005,-6.221,0.36200000000000004,0.635,0.125,0.428,0.242,0.41600000000000004,0.52,0.2
ZMB,0.3,-3.911,2.92,0.6246666666666667,0.7495,0.33999999999999997,0.732,0.46,0.682,0.78,0.38
