ISO3,TE,Rule_of_Law,Government_Size,Regulatory_Efficiency,Open_Markets,GDPgrowth,CurrentAccountBal/GDP
SWZ,0.3,0.3916666666666666,0.599,0.6793333333333335,0.5656666666666667,0.391,26.084
SYC,0.45,0.4609999999999999,0.7566666666666667,0.6746666666666666,0.5723333333333334,4.9110000000000005,-18.601
TGO,0.3,0.3076666666666667,0.48366666666666663,0.578,0.5406666666666667,5.742999999999999,-11.027000000000001
THA,0.65,0.4286666666666667,0.8773333333333334,0.7176666666666667,0.6603333333333333,3.02,8.0
TJK,0.25,0.451,0.8453333333333334,0.6173333333333334,0.4186666666666667,6.0,-6.005
TTO,0.52,0.4593333333333333,0.5016666666666666,0.734,0.6116666666666667,1.714,7.64
TUN,0.31,0.4263333333333333,0.7003333333333334,0.7050000000000001,0.5236666666666666,1.153,-8.92
TWN,0.83,0.7480000000000001,0.8576666666666667,0.7713333333333333,0.6873333333333332,0.8059999999999999,14.247
UGA,0.33,0.37366666666666665,0.8153333333333334,0.6993333333333335,0.5936666666666666,5.67,-7.127000000000001
UKR,0.26,0.3316666666666666,0.6703333333333333,0.5853333333333334,0.48700000000000004,-9.773,1.7209999999999999
URY,0.55,0.693,0.7256666666666667,0.6983333333333334,0.6513333333333333,0.371,-0.96
UZB,0.38,0.3606666666666667,0.854,0.6026666666666667,0.24166666666666667,7.9,0.706
VCT,0.25,0.5246666666666667,0.7626666666666667,0.8013333333333333,0.6189999999999999,0.836,-14.925
VEN,0.11,0.08833333333333333,0.494,0.19866666666666666,0.229,-6.221,-6.6160000000000005
VNM,0.43,0.377,0.6033333333333334,0.6633333333333333,0.4789999999999999,6.678999999999999,-0.062
ZAF,0.46,0.5966666666666667,0.684,0.6659999999999999,0.572,1.28,-4.593
ZMB,0.3,0.4096666666666667,0.5556666666666668,0.5956666666666667,0.611,2.92,-3.911
