,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal
1994-01-31,943.2856310666392,943.2856310666392,,
1994-02-28,736.846597191883,1680.1322282585222,,
1994-03-31,999.1920216809112,2679.3242499394337,,
1994-04-30,930.3239235572129,3609.6481734966465,,
1994-05-31,891.34704858095,4500.995222077597,,
1994-06-30,1007.8923508092645,5508.887572886862,,
1994-07-31,954.2545116000001,6463.142084486862,,
1994-08-31,1123.62870957,7586.770794056862,,
1994-09-30,1194.7492445599999,8781.520038616862,,
1994-10-31,1297.75285327,10079.272891886862,,
1994-11-30,1273.25488483,11352.52777671686,,
1994-12-31,1476.7432663,12829.27104301686,,
1995-01-31,1433.1773935999997,1433.1773935999997,0.5193461517901057,0.5193461517901057
1995-02-28,1167.79310346,2600.9704970599996,0.5480748796515484,0.5848524074216412
1995-03-31,1592.8356804300001,4193.80617749,0.5652477215420273,0.5941236978157809
1995-04-30,1557.3376367800001,5751.14381427,0.5932699082688988,0.6739735454994211
1995-05-31,1503.9263559600001,7255.07017023,0.6118813311872748,0.6872511760198163
1995-06-30,1487.7384678299998,8742.80863806,0.5870370419410182,0.47608865831301683
1995-07-31,1508.3517325,10251.16037056,0.58609546820351,0.5806597864242153
1995-08-31,1459.74654528,11710.90691584,0.5435957186177027,0.2991360338582203
1995-09-30,1495.5849997599998,13206.4919156,0.5038958924564609,0.25179823847538096
1995-10-31,1541.7518009900002,14748.24371659,0.46322496421952675,0.18801649875412418
1995-11-30,1567.9173143399996,16316.16103093,0.43722714023154907,0.23142454273744395
1995-12-31,1847.62703418,18163.78806511,0.4158082718968499,0.2511497945132022
1996-01-31,1757.8523539899973,1757.8523539899973,0.22654206090597495,0.22654206090597495
1996-02-29,1545.9043311899975,3303.7566851799947,0.2702015224372547,0.3237827202521655
1996-03-31,1595.8336095299971,4899.590294709992,0.1682920209828116,0.0018821333153384856
1996-04-30,1743.3344565399975,6642.92475124999,0.1550614913797257,0.11943255936751784
1996-05-31,1787.1193418299972,8430.044093079987,0.16195211008038224,0.1883024290037305
1996-06-30,1767.1246678499972,10197.168760929984,0.16634930296183437,0.1877925496055146
1996-07-31,1825.8508424699974,12023.019603399982,0.1728447481836819,0.21049407981503232
1996-08-31,1824.9921875699972,13848.011790969978,0.18248841789010917,0.2502116846729292
1996-09-30,1834.7220086699974,15682.733799639976,0.1875018664960486,0.22675876594404176
1996-10-31,1870.9647258299972,17553.698525469972,0.19022297588723558,0.21353172710977253
1996-11-30,1939.648329709997,19493.34685517997,0.19472630959127502,0.23708585393514459
1996-12-31,1949.9488698399966,21443.29572501997,0.18055196681189134,0.05538013558315802
