,Ativo,Nome,Situação|CVM,Data do Bal,Setor NAICS|ult disponiv,Receita| Em moeda orig| em milhares| no exercício| consolid:sim*,Lucro Bruto| Em moeda orig| em milhares| no exercício| consolid:sim*,EBIT| Em moeda orig| em milhares| no exercício| consolid:sim*,Lucro Liquido| Em moeda orig| em milhares| no exercício| consolid:sim*,Capex| Em moeda orig| em milhares| de 12 meses| consolid:sim*,Invest Cap $| Em moeda orig| em milhares| consolid:sim*,Patrim Liq| Em moeda orig| em milhares| consolid:sim*,Ativo Tot| Em moeda orig| em milhares| consolid:sim*,Div Tt Bruta| Em moeda orig| em milhares| consolid:sim*,AlaFin| de 12 meses| consolid:sim*,CapGir| Em moeda orig| em milhares| consolid:sim*,RecFin| Em moeda orig| em milhares| no exercício| consolid:sim*,Estoques| Em moeda orig| em milhares| consolid:sim*,Ano,Nome_Ano,Tamanho,Capex%Ativo
378,ENER6<XBSP>,Enersul,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",282604.0,20344.0,20984.0,-37803.0,80154.0,921379.0,472420.0,981250.0,234219.0,-22503589496.0,26590000001.0,13077.0,4820.0,1999,Enersul1999,Pequena,0.0816856050955414
379,ENEV3<XBSP>,Eneva,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Eneva1999,Pequena,
380,EGIE3<XBSP>,Engie Brasil,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",725940.0,287389.0,218284.0,-72585.0,227976.0,4007802.0,2213650.0,4215421.0,1379034.0,-0.5332227845699999,-154645.0,15453.0,4767.0,1999,Engie Brasil1999,Pequena,0.054081431012465896
381,EQMA3B<XBSP>,Eqtl Maranhao,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",237878.0,237878.0,-9597.0,-72189.0,0.0,738162.0,401035.0,854415.0,283216.0,-42301681175.0,-18399.0,3830.0,2739.0,1999,Eqtl Maranhao1999,Pequena,0.0
382,EQPA3<XBSP>,Eqtl Para,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",395038.0,252861.0,50622.0,28219.0,96513.0,1182340.0,598007.0,1320346.0,320311.0,14279009373.0,14467.0,39675.0,16034.0,1999,Eqtl Para1999,Pequena,0.07309674888248989
383,EQTL3<XBSP>,Equatorial,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Equatorial1999,Pequena,
384,24457 ON<BraNa>,Equatorial Transmissora 7 Spe S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Equatorial Transmissora 7 Spe S/A1999,Pequena,
385,24481 ON<BraNa>,Equatorial Transmissora 8 Spe S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Equatorial Transmissora 8 Spe S/A1999,Pequena,
386,ESCE3<XBSP>,Escelsa,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",523171.0,34968.0,4729.0,-131111.0,90915.0,1835565.0,785110.0,2032093.0,914763.0,-54288725903.0,209515.0,171597.0,3475.0,1999,Escelsa1999,Pequena,0.04473958622956725
387,FLCL3<XBSP>,F Cataguazes,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",104494.0,17556.0,7070.0,-33582.0,32000.0,788102.0,374581.0,806881.0,334861.0,-39979348778.0,-26604.0,3223.0,636.0,1999,F Cataguazes1999,Pequena,0.03965888402379037
388,22977 ON<BraNa>,Ferreira Gomes Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Ferreira Gomes Energia SA1999,Pequena,
389,POWE3<XBSP>,Focus ON,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Focus ON1999,Pequena,
390,GEPA4<XBSP>,Ger Paranap,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",377610.0,107574.0,32855.0,-105054.0,0.0,3602222.0,2418339.0,3751813.0,855538.0,-32473421879.0,-99740.0,5271.0,539.0,1999,Ger Paranap1999,Pequena,0.0
391,18589 ON<BraNa>,Investco S/A,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1.0,1.0,1.0,1.0,0.0,358780.0,296336.0,398821.0,67203.0,13458405324.0,-25215.0,0.0,0.0,1999,Investco S/A1999,Pequena,0.0
392,19364 ON<BraNa>,Itapebi Geração de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Itapebi Geração de Energia S/A1999,Pequena,
393,23000 ON<BraNa>,Light Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Light Energia S/A1999,Pequena,
394,LIGT3<XBSP>,Light S/A,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",6190795.0,1209770.0,1181030.0,-253220.0,1148467.0,12349109.0,2481140.0,14172428.0,6112926.0,0.37427453928000004,-2417282.0,258272.0,54977.0,1999,Light S/A1999,Grande,0.08103530319575446
395,08036 ON<BraNa>,Light Serv de Eletr S/A,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",2350069.0,439123.0,483504.0,-253220.0,0.0,8246092.0,2481140.0,8985414.0,5293039.0,-1457004347.0,-611174.0,172894.0,16453.0,1999,Light Serv de Eletr S/A1999,Grande,0.0
396,23680 ON<BraNa>,Linhas de Macapá Trans de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Linhas de Macapá Trans de Energia S/A1999,Pequena,
397,23671 ON<BraNa>,Linhas de Xingu Trans de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Linhas de Xingu Trans de Energia S/A1999,Pequena,
398,NEOE3<XBSP>,Neoenergia,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Neoenergia1999,Pequena,
399,24988 ON<BraNa>,Norte Brasil Transm de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Norte Brasil Transm de Energia S/A1999,Pequena,
400,25097 ON<BraNa>,Norte Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Norte Energia SA1999,Pequena,
401,PALF7<XBSP>,Paul F Luz,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1996216.0,413998.0,370424.0,124237.0,115297.0,5417314.0,4582983.0,6548055.0,559268.0,0.53927540447,246146.0,200218.0,6752.0,1999,Paul F Luz1999,Grande,0.01760782400270004
402,23230 ON<BraNa>,Raizen Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Raizen Energia SA1999,Pequena,
403,REDE3<XBSP>,Rede Energia,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1101917.0,632981.0,88162.0,-59247.0,299344.0,3478381.0,444505.0,3794096.0,1789100.0,-1680996618.0,-184531.0,19253.0,17860.0,1999,Rede Energia1999,Pequena,0.0788973183598939
404,RNEW4<XBSP>,Renova,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Renova1999,Pequena,
405,25720 ON<BraNa>,Rio Alto Energias Renováveis S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Rio Alto Energias Renováveis S/A1999,Pequena,
406,25623 ON<BraNa>,Rio Parana Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Rio Parana Energia S/A1999,Pequena,
407,23388 ON<BraNa>,Santo Antonio Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Santo Antonio Energia SA1999,Pequena,
408,STKF3<XBSP>,Statkraft,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Statkraft1999,Pequena,
409,TAEE11<XBSP>,Taesa,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Taesa1999,Pequena,
410,23329 ON<BraNa>,Termeletrica Pernambuco 3 SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Termeletrica Pernambuco 3 SA1999,Pequena,
411,19852 ON<BraNa>,Termopernambuco S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Termopernambuco S/A1999,Pequena,
412,TRPL4<XBSP>,Tran Paulist,ATIVO,1999-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",229798.0,7397.0,22974.0,19499.0,4288.0,1779200.0,1687613.0,1907660.0,41483.0,10852518308.0,108866.0,14941.0,21498.0,1999,Tran Paulist1999,Pequena,0.0022477800027258525
413,24945 ON<BraNa>,Usina Termelétrica Pampa Sul S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Usina Termelétrica Pampa Sul S/A1999,Pequena,
414,24767 ON<BraNa>,Ventos do Sul Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Ventos do Sul Energia SA1999,Pequena,
415,25224 ON<BraNa>,2w Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2w Energia S/A2000,Pequena,
416,AESB3<XBSP>,AES Brasil,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,AES Brasil2000,Pequena,
417,AESL3<XBSP>,AES Sul,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",783916.0,322737.0,137993.0,-147952.0,67037.0,1781915.0,103439.0,2117858.0,1526595.0,-14424529684.0,-230342.0,113998.0,519.0,2000,AES Sul2000,Pequena,0.03165320809988205
418,18970 ON<BraNa>,AES Tietê Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,AES Tietê Energia S/A2000,Pequena,
419,ALUP11<XBSP>,Alupar,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Alupar2000,Pequena,
420,CBEE3<XBSP>,Ampla Energ,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1043928.0,557840.0,66933.0,4799.0,251855.0,2249858.0,381815.0,2782303.0,623480.0,0.23319748378000002,-400830.0,156468.0,104.0,2000,Ampla Energ2000,Pequena,0.09052033513244244
421,24210 ON<BraNa>,Argo Transmissão de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Argo Transmissão de Energia S/A2000,Pequena,
422,EBEN4<XBSP>,Bandeirante Energ,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",2356456.0,279533.0,230555.0,50279.0,147623.0,1983965.0,656912.0,2632698.0,876764.0,15894374248.0,-269038.0,41997.0,5573.0,2000,Bandeirante Energ2000,Pequena,0.05607289556189126
423,23930 ON<BraNa>,Brasiliana Participações S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Brasiliana Participações S/A2000,Pequena,
424,22683 ON<BraNa>,Cachoeira Paulista Trans de Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Cachoeira Paulista Trans de Energia SA2000,Pequena,
425,CEBR3<XBSP>,Ceb,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",478596.0,478596.0,46846.0,25622.0,80954.0,558405.0,461924.0,711667.0,28982.0,13207556374.0,-15656.0,5314.0,4781.0,2000,Ceb2000,Pequena,0.11375263992850589
426,EEEL3<XBSP>,Ceee-Gt,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",884164.0,193101.0,-77831.0,-103223.0,0.0,2653685.0,708597.0,3305806.0,805527.0,56048018438.0,164704.0,101066.0,8582.0,2000,Ceee-Gt2000,Pequena,0.0
427,24597 ON<BraNa>,Celeo Redes Transmissão de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Celeo Redes Transmissão de Energia S/A2000,Pequena,
428,CLSC4<XBSP>,Celesc,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1194797.0,26964.0,66406.0,4030.0,105237.0,2107425.0,1146186.0,2542404.0,230037.0,0.16225205465,-192338.0,115421.0,10267.0,2000,Celesc2000,Pequena,0.04139271335318856
429,25577 ON<BraNa>,Celg Distribuição S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Celg Distribuição S/A2000,Pequena,
430,CEPE5<XBSP>,Celpe,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",820782.0,820782.0,-36166.0,-50397.0,77382.0,895844.0,579330.0,1185126.0,164493.0,23263906226.0,60394.0,35536.0,7160.0,2000,Celpe2000,Pequena,0.06529432313526157
431,CMIG4<XBSP>,Cemig,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",3468171.0,3468171.0,641707.0,414959.0,474619.0,10512810.0,7817533.0,11934081.0,1701403.0,12771037877.0,-602422.0,250319.0,12352.0,2000,Cemig2000,Grande,0.039770050161382346
432,20303 ON<BraNa>,Cemig Distribuição SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Cemig Distribuição SA2000,Pequena,
433,20320 ON<BraNa>,Cemig Geração e Transm SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Cemig Geração e Transm SA2000,Pequena,
434,CESP6<XBSP>,Cesp,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1328353.0,588860.0,-270649.0,-414299.0,1037197.0,18371875.0,10692641.0,19558777.0,7316066.0,17937604319.0,-1523605.0,282571.0,8073.0,2000,Cesp2000,Grande,0.05302974720760915
435,03328 ON<BraNa>,Cia Hidro Eletrica Sao Francisco,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",2117764.0,1303771.0,590745.0,48254.0,0.0,16444127.0,10212007.0,17612648.0,534441.0,0.14775277545999999,221839.0,53639.0,45221.0,2000,Cia Hidro Eletrica Sao Francisco2000,Grande,0.0
436,CEEB3<XBSP>,Coelba,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1171292.0,293208.0,304413.0,150712.0,358932.0,2999986.0,1493752.0,3355987.0,590123.0,12395151264.0,-4933.0,66871.0,2936.0,2000,Coelba2000,Pequena,0.10695273849392146
437,COCE5<XBSP>,Coelce,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",700450.0,700450.0,107276.0,83871.0,0.0,1655674.0,1224277.0,1888875.0,212291.0,13347394442.0,-62502.0,24260.0,4195.0,2000,Coelce2000,Pequena,0.0
438,02442 ON<BraNa>,Companhia Energética Jaguara,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Companhia Energética Jaguara2000,Pequena,
439,24430 ON<BraNa>,Companhia Energética Miranda,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Companhia Energética Miranda2000,Pequena,
440,24155 ON<BraNa>,Companhia Energética Sinop S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Companhia Energética Sinop S/A2000,Pequena,
441,CPLE6<XBSP>,Copel,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",2021257.0,662892.0,640742.0,430603.0,391031.0,7354012.0,4898154.0,7956321.0,1379752.0,14343786886.0,119456.0,200121.0,14315.0,2000,Copel2000,Grande,0.04914721263759971
442,24740 ON<BraNa>,Copel Geração e Transmissão S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Copel Geração e Transmissão S/A2000,Pequena,
443,CSRN3<XBSP>,Cosern,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",361134.0,152813.0,108766.0,70840.0,53391.0,635980.0,405652.0,843226.0,213375.0,16375088057.0,19242.0,20534.0,1137.0,2000,Cosern2000,Pequena,0.06331754476261406
444,CPFE3<XBSP>,CPFL Energia,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",588401.0,588401.0,43420.0,-216231.0,91626.0,1347943.0,-315781.0,1786264.0,1852749.0,38610563754.0,67869.0,53898.0,1836.0,2000,CPFL Energia2000,Pequena,0.051294769418182305
445,CPFG3<XBSP>,CPFL Geracao,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",8376.0,-3644.0,-3644.0,-2653.0,0.0,124230.0,117773.0,139590.0,12286.0,0.0,-886.0,0.0,91.0,2000,CPFL Geracao2000,Pequena,0.0
446,CPFP4<XBSP>,CPFL Piratininga,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,CPFL Piratininga2000,Pequena,
447,CPRE3<XBSP>,CPFL Renovav,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,CPFL Renovav2000,Pequena,
448,DNEN3B<XBSP>,Dinamica Ene,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Dinamica Ene2000,Pequena,
449,EKTR4<XBSP>,Elektro,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1177370.0,107634.0,97290.0,-63189.0,104107.0,2368808.0,1304627.0,2776374.0,130459.0,-10778744216.0,124724.0,98997.0,850.0,2000,Elektro2000,Pequena,0.03749746972129835
450,ELET3<XBSP>,Eletrobras,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",12222302.0,12222302.0,4280374.0,2455813.0,3089660.0,81319849.0,62136331.0,91177875.0,16788232.0,10214124065.0,1138161.0,0.0,240951.0,2000,Eletrobras2000,Grande,0.033886071593574645
451,LIPR3<XBSP>,Eletropar,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",-89.0,-89.0,6932.0,-3233.0,3.0,81662.0,48321.0,110936.0,11208.0,-10707392915.0,-13924.0,287.0,0.0,2000,Eletropar2000,Pequena,2.7042619167808465e-05
452,ELPL3<XBSP>,Eletropaulo,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",4631925.0,731740.0,734667.0,238884.0,405400.0,7529723.0,2557800.0,8807838.0,1824739.0,11718295357.0,-319503.0,208576.0,31110.0,2000,Eletropaulo2000,Grande,0.046027186240255556
453,EMAE4<XBSP>,Emae,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",347003.0,347003.0,22355.0,15253.0,26038.0,1034955.0,922054.0,1106391.0,0.0,14705430797.0,76574.0,5707.0,6227.0,2000,Emae2000,Pequena,0.023534175531073554
454,ENBR3<XBSP>,Energias BR,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Energias BR2000,Pequena,
455,ENGI11<XBSP>,Energisa,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",261953.0,37659.0,22244.0,10716.0,0.0,1651228.0,740996.0,1802610.0,602731.0,0.89012406722,-215147.0,27702.0,4513.0,2000,Energisa2000,Pequena,0.0
456,ENMT3<XBSP>,Energisa Mt,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",480568.0,17647.0,-4742.0,-115825.0,0.0,1177800.0,316232.0,1278309.0,421807.0,-2718779421.0,-43755.0,14516.0,5995.0,2000,Energisa Mt2000,Pequena,0.0
457,21938 ON<BraNa>,Energisa Paraiba Dist e Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Energisa Paraiba Dist e Energia S/A2000,Pequena,
458,18996 ON<BraNa>,Energisa Sergipe Dist de Energia S/A,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",183737.0,21828.0,11854.0,11761.0,0.0,1018809.0,696835.0,1050604.0,262693.0,0.63769766331,-12741.0,14927.0,1377.0,2000,Energisa Sergipe Dist de Energia S/A2000,Pequena,0.0
459,24864 ON<BraNa>,Energisa Sul Sudeste Distr de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Energisa Sul Sudeste Distr de Energia S/A2000,Pequena,
460,24589 ON<BraNa>,Energisa Transmissão de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Energisa Transmissão de Energia S/A2000,Pequena,
461,ENER6<XBSP>,Enersul,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",342866.0,38758.0,40503.0,11742.0,83038.0,928310.0,481898.0,1000265.0,297628.0,0.7071493414899999,-42375.0,22857.0,2474.0,2000,Enersul2000,Pequena,0.08301600075979865
462,ENEV3<XBSP>,Eneva,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Eneva2000,Pequena,
463,EGIE3<XBSP>,Engie Brasil,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",1082645.0,450330.0,401595.0,162801.0,651229.0,4718857.0,2432379.0,5179873.0,1914909.0,0.9732358570999999,-711613.0,23678.0,5285.0,2000,Engie Brasil2000,Pequena,0.12572296656694093
464,EQMA3B<XBSP>,Eqtl Maranhao,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",269655.0,269655.0,-129025.0,-159685.0,0.0,742607.0,241350.0,813627.0,331314.0,60410958704.0,-48821.0,4524.0,4427.0,2000,Eqtl Maranhao2000,Pequena,0.0
465,EQPA3<XBSP>,Eqtl Para,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",515807.0,48450.0,39131.0,-19297.0,102724.0,1231601.0,585863.0,1403940.0,488467.0,-11413981118.0,18750.0,30019.0,30979.0,2000,Eqtl Para2000,Pequena,0.07316836901861903
466,EQTL3<XBSP>,Equatorial,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Equatorial2000,Pequena,
467,24457 ON<BraNa>,Equatorial Transmissora 7 Spe S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Equatorial Transmissora 7 Spe S/A2000,Pequena,
468,24481 ON<BraNa>,Equatorial Transmissora 8 Spe S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Equatorial Transmissora 8 Spe S/A2000,Pequena,
469,ESCE3<XBSP>,Escelsa,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",639833.0,98767.0,94868.0,3752.0,74874.0,1902130.0,775617.0,2140957.0,974423.0,0.10858862917,227395.0,74284.0,2896.0,2000,Escelsa2000,Pequena,0.03497221102525646
470,FLCL3<XBSP>,F Cataguazes,ATIVO,2000-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",133051.0,24755.0,112104.0,73872.0,39848.0,766129.0,402457.0,815592.0,232569.0,1428786603.0,-53325.0,3810.0,639.0,2000,F Cataguazes2000,Pequena,0.048857762214440555
